R_ID	SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units	Type
FAM3B	9177-6_3	SL007306	Protein FAM3B	FAM3B	P58499	54097	FAM3B	Human	RFU	Protein
FAM3D	13102-1_3	SL012769	Protein FAM3D	FAM3D	Q96BQ1	131177	FAM3D	Human	RFU	Protein
FAP	5029-3_1	SL006528	Prolyl endopeptidase FAP	SEPR	Q12884	2191	FAP	Human	RFU	Protein
FAS	5392-73_2	SL002731	Tumor necrosis factor receptor superfamily member 6	Fas, soluble	P25445	355	FAS	Human	RFU	Protein
FASLG	3052-8_2	SL000633	Tumor necrosis factor ligand superfamily member 6, soluble form	Fas ligand, soluble	P48023	356	FASLG	Human	RFU	Protein
FCAR	4987-17_1	SL010373	Immunoglobulin alpha Fc receptor	FCAR	P24071	2204	FCAR	Human	RFU	Protein
FCER2	3291-30_2	SL002706	Low affinity immunoglobulin epsilon Fc receptor	CD23	P06734	2208	FCER2	Human	RFU	Protein
FCGR1A	3312-64_1	SL010461	High affinity immunoglobulin gamma Fc receptor I	FCGR1	P12314	2209	FCGR1A	Human	RFU	Protein
FCGR2A	3309-2_2	SL010459	Low affinity immunoglobulin gamma Fc region receptor II-a	FCG2A	P12318	2212	FCGR2A	Human	RFU	Protein
FCGR2B	3310-62_1	SL010460	Low affinity immunoglobulin gamma Fc region receptor II-b	FCG2B	P31994	2213	FCGR2B	Human	RFU	Protein
FCGR3B	3311-27_1	SL008609	Low affinity immunoglobulin gamma Fc region receptor III-B	FCG3B	O75015	2215	FCGR3B	Human	RFU	Protein
FCN1	3613-62_1	SL010462	Ficolin-1	FCN1	O00602	2219	FCN1	Human	RFU	Protein
FCN2	3313-21_2	SL006542	Ficolin-2	FCN2	Q15485	2220	FCN2	Human	RFU	Protein
FCN3	5462-62_3	SL002086	Ficolin-3	Ficolin-3	O75636	8547	FCN3	Human	RFU	Protein
FCRL3	4440-15_2	SL014088	Fc receptor-like protein 3	FCRL3	Q96P31	115352	FCRL3	Human	RFU	Protein
FER	4220-39_2	SL005588	Tyrosine-protein kinase Fer	FER	P16591	2241	FER	Human	RFU	Protein
FETUB	3367-8_3	SL006777	Fetuin-B	FETUB	Q9UGM5	26998	FETUB	Human	RFU	Protein
FGA.FGB.FGG	2796-62_2	SL000424	Fibrinogen	Fibrinogen	P02671 P02675 P02679	2243 2244 2266	FGA FGB FGG	Human	RFU	Protein
FGA.FGB.FGG.1	4907-56_1	SL000022	D-dimer	D-dimer	P02671 P02675 P02679	2243 2244 2266	FGA FGB FGG	Human	RFU	Protein
FGF1	3486-58_2	SL000299	Fibroblast growth factor 1	b-ECGF	P05230	2246	FGF1	Human	RFU	Protein
FGF10	2441-2_4	SL004333	Fibroblast growth factor 10	FGF-10	O15520	2255	FGF10	Human	RFU	Protein
FGF12	4392-54_2	SL005161	Fibroblast growth factor 12	FGF-12	P61328	2257	FGF12	Human	RFU	Protein
FGF16	4393-3_1	SL004334	Fibroblast growth factor 16	FGF-16	O43320	8823	FGF16	Human	RFU	Protein
FGF17	3494-71_3	SL004335	Fibroblast growth factor 17	FGF-17	O60258	8822	FGF17	Human	RFU	Protein
FGF18	2761-49_2	SL004336	Fibroblast growth factor 18	FGF-18	O76093	8817	FGF18	Human	RFU	Protein
FGF19	2762-30_2	SL004337	Fibroblast growth factor 19	FGF-19	O95750	9965	FGF19	Human	RFU	Protein
FGF2	3025-50_1	SL000004	Fibroblast growth factor 2	bFGF	P09038	2247	FGF2	Human	RFU	Protein
FGF20	2763-66_2	SL004338	Fibroblast growth factor 20	FGF-20	Q9NP95	26281	FGF20	Human	RFU	Protein
FGF23	3807-1_2	SL007651	Fibroblast growth factor 23	FGF23	Q9GZV9	8074	FGF23	Human	RFU	Protein
FGF4	4123-60_2	SL003171	Fibroblast growth factor 4	FGF-4	P08620	2249	FGF4	Human	RFU	Protein
FGF5	3065-65_1	SL004339	Fibroblast growth factor 5	FGF-5	P12034	2250	FGF5	Human	RFU	Protein
FGF6	4130-71_1	SL004340	Fibroblast growth factor 6	FGF-6	P10767	2251	FGF6	Human	RFU	Protein
FGF7	4487-1_1	SL001691	Fibroblast growth factor 7	FGF7	P21781	2252	FGF7	Human	RFU	Protein
FGF8	2443-10_4	SL004342	Fibroblast growth factor 8 isoform B	FGF-8B	P55075	2253	FGF8	Human	RFU	Protein
FGF8.1	4394-71_2	SL014308	Fibroblast growth factor 8 isoform A	FGF-8A	P55075	2253	FGF8	Human	RFU	Protein
FGF9	2764-20_2	SL003849	Fibroblast growth factor 9	FGF9	P31371	2254	FGF9	Human	RFU	Protein
FGFR1	5532-53_3	SL003060	Fibroblast growth factor receptor 1	bFGF-R	P11362	2260	FGFR1	Human	RFU	Protein
FGFR2	3808-76_2	SL003990	Fibroblast growth factor receptor 2	FGFR-2	P21802	2263	FGFR2	Human	RFU	Protein
FGFR3	3809-1_2	SL004063	Fibroblast growth factor receptor 3	FGFR-3	P22607	2261	FGFR3	Human	RFU	Protein
FGFR4	4988-49_2	SL002036	Fibroblast growth factor receptor 4	FGFR4	P22455	2264	FGFR4	Human	RFU	Protein
FGG	4989-7_1	SL003341	Fibrinogen gamma chain	Fibrinogen g-chain dimer	P02679	2266	FGG	Human	RFU	Protein
FGR	3810-50_2	SL006912	Tyrosine-protein kinase Fgr	FGR	P09769	2268	FGR	Human	RFU	Protein
FIGF	13098-93_3	SL003320	Vascular endothelial growth factor D	VEGF-D	O43915	2277	FIGF	Human	RFU	Protein
FLRT1	4547-59_2	SL014071	Leucine-rich repeat transmembrane protein FLRT1	FLRT1	Q9NZU1	23769	FLRT1	Human	RFU	Protein
FLRT2	13122-19_3	SL008360	Leucine-rich repeat transmembrane protein FLRT2	FLRT2	O43155	23768	FLRT2	Human	RFU	Protein
FLRT3	13123-3_3	SL008372	Leucine-rich repeat transmembrane protein FLRT3	FLRT3	Q9NZU0	23767	FLRT3	Human	RFU	Protein
FLT3	3437-80_3	SL004636	Receptor-type tyrosine-protein kinase FLT3	Flt-3	P36888	2322	FLT3	Human	RFU	Protein
FLT3LG	3053-49_2	SL004343	Fms-related tyrosine kinase 3 ligand	Flt3 ligand	P49771	2323	FLT3LG	Human	RFU	Protein
FLT4	2358-19_2	SL003322	Vascular endothelial growth factor receptor 3	VEGF sR3	P35916	2324	FLT4	Human	RFU	Protein
FN1	3434-34_1	SL010349	Fibronectin Fragment 3	FN1.3	P02751	2335	FN1	Human	RFU	Protein
FN1.1	3435-53_2	SL010348	Fibronectin Fragment 4	FN1.4	P02751	2335	FN1	Human	RFU	Protein
FN1.2	4131-72_2	SL000426	Fibronectin	Fibronectin	P02751	2335	FN1	Human	RFU	Protein
FOLH1	5478-50_2	SL000158	Glutamate carboxypeptidase 2	PSMA	Q04609	2346	FOLH1	Human	RFU	Protein
FRZB	2841-13_2	SL004650	Secreted frizzled-related protein 3	sFRP-3	Q92765	2487	FRZB	Human	RFU	Protein
FST	4132-27_2	SL000674	Follistatin	FST	P19883	10468	FST	Human	RFU	Protein
FSTL1	13112-179_3	SL009349	Follistatin-related protein 1	FSTL1	Q12841	11167	FSTL1	Human	RFU	Protein
FSTL3	3438-10_2	SL009324	Follistatin-related protein 3	FSTL3	O95633	10272	FSTL3	Human	RFU	Protein
FTCD	9213-24_3	SL018900	Formimidoyltransferase-cyclodeaminase	FTCD	O95954	10841	FTCD	Human	RFU	Protein
FTH1.FTL	5934-1_3	SL000420	Ferritin	Ferritin	P02794 P02792	2495 2512	FTH1 FTL	Human	RFU	Protein
FUT3	4548-4_2	SL005575	Galactoside 3(4)-L-fucosyltransferase	Fucosyltransferase 3	P21217	2525	FUT3	Human	RFU	Protein
FUT5	4549-78_2	SL014008	Alpha-(1,3)-fucosyltransferase 5	FUT5	Q11128	2527	FUT5	Human	RFU	Protein
FYN	3813-3_2	SL006913	Tyrosine-protein kinase Fyn	FYN	P06241	2534	FYN	Human	RFU	Protein
GAPDH	3848-14_2	SL003785	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH, liver	P04406	2597	GAPDH	Human	RFU	Protein
GAS1	5463-22_3	SL000658	Growth arrest-specific protein 1	GAS1	P54826	2619	GAS1	Human	RFU	Protein
GCG	4891-50_1	SL000433	Glucagon	Glucagon	P01275	2641	GCG	Human	RFU	Protein
GCKR	5223-59_3	SL015728	Glucokinase regulatory protein	GCKR	Q14397	2646	GCKR	Human	RFU	Protein
GDF11	12060-28_3	SL004345	Growth/differentiation factor 11	GDF-11	O95390	10220	GDF11	Human	RFU	Protein
GDF11.MSTN	2765-4_3	SL021043	Growth/differentiation factor 11/8	GDF-11/8	O95390 O14793		GDF11 MSTN	Human	RFU	Protein
GDF15	4374-45_2	SL003869	Growth/differentiation factor 15	MIC-1	Q99988	9518	GDF15	Human	RFU	Protein
GDF2	4880-21_1	SL007756	Growth/differentiation factor 2	GDF2	Q9UK05	2658	GDF2	Human	RFU	Protein
GDF5	2752-62_2	SL004329	Growth/differentiation factor 5	BMP-14	P43026	8200	GDF5	Human	RFU	Protein
GDF9	3067-67_1	SL005234	Growth/differentiation factor 9	GDF-9	O60383	2661	GDF9	Human	RFU	Protein
GDI2	2647-66_2	SL003648	Rab GDP dissociation inhibitor beta	Rab GDP dissociation inhibitor beta	P50395	2665	GDI2	Human	RFU	Protein
GDNF	5822-22_3	SL004248	Glial cell line-derived neurotrophic factor	GDNF	P39905	2668	GDNF	Human	RFU	Protein
GFAP	3034-1_2	SL004271	Glial fibrillary acidic protein	GFAP	P14136	2670	GFAP	Human	RFU	Protein
GFRA1	3314-74_2	SL004858	GDNF family receptor alpha-1	GFRa-1	P56159	2674	GFRA1	Human	RFU	Protein
GFRA2	2515-14_3	SL004143	GDNF family receptor alpha-2	GFRa-2	O00451	2675	GFRA2	Human	RFU	Protein
GFRA3	2505-49_3	SL004144	GDNF family receptor alpha-3	GFRa-3	O60609	2676	GFRA3	Human	RFU	Protein
GH1	8462-18_3	SL000442	Somatotropin	HGH	P01241	2688	GH1	Human	RFU	Protein
GHR	2948-58_2	SL005168	Growth hormone receptor	Growth hormone receptor	P10912	2690	GHR	Human	RFU	Protein
GHRL	8447-11_3	SL004269	Appetite-regulating hormone	ghrelin	Q9UBU3	51738	GHRL	Human	RFU	Protein
GNLY	3195-50_2	SL000678	Granulysin	Granulysin	P22749	10578	GNLY	Human	RFU	Protein
GNS	3616-3_5	SL008504	N-acetylglucosamine-6-sulfatase	GNS	P15586	2799	GNS	Human	RFU	Protein
GOT1	4912-17_1	SL000280	Aspartate aminotransferase, cytoplasmic	GOT1	P17174	2805	GOT1	Human	RFU	Protein
GP1BA	4990-87_1	SL006460	Platelet glycoprotein Ib alpha chain	GP1BA	P07359	2811	GP1BA	Human	RFU	Protein
GP6	3194-36_2	SL008759	Platelet glycoprotein VI	GPVI	Q9HCN6	51206	GP6	Human	RFU	Protein
GPC2	3315-15_1	SL010463	Glypican-2	GPC2	Q8N158	221914	GPC2	Human	RFU	Protein
GPC3	4842-62_2	SL000070	Glypican-3	Glypican 3	P51654	2719	GPC3	Human	RFU	Protein
GPC5	4991-12_1	SL012469	Glypican-5	GPC5	P78333	2262	GPC5	Human	RFU	Protein
GPC6	5350-14_2	SL012881	Glypican-6	GPC6	Q9Y625	10082	GPC6	Human	RFU	Protein
GPD1	11081-1_3	SL007151	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	GPDA	P21695	2819	GPD1	Human	RFU	Protein
GPI	4272-46_2	SL000539	Glucose-6-phosphate isomerase	PHI	P06744	2821	GPI	Human	RFU	Protein
GPNMB	5080-131_3	SL007429	Transmembrane glycoprotein NMB	GPNMB	Q14956	10457	GPNMB	Human	RFU	Protein
GPT	3709-4_2	SL000617	Alanine aminotransferase 1	ALT	P24298	2875	GPT	Human	RFU	Protein
GRAP2	5265-12_3	SL005725	GRB2-related adapter protein 2	GRB2-related adapter protein 2	O75791	9402	GRAP2	Human	RFU	Protein
GRB2	5464-52_3	SL003792	Growth factor receptor-bound protein 2	GRB2 adapter protein	P62993	2885	GRB2	Human	RFU	Protein
GREM1	4449-67_3	SL007024	Gremlin-1	GREM1	O60565	26585	GREM1	Human	RFU	Protein
GRN	4992-49_1	SL007173	Granulins	GRN	P28799	2896	GRN	Human	RFU	Protein
GRP	5897-58_3	SL002071	Gastrin-releasing peptide	Gastrin-releasing peptide	P07492	2922	GRP	Human	RFU	Protein
GSK3A.GSK3B	3441-64_2	SL017188	Glycogen synthase kinase-3 alpha/beta	GSK-3 alpha/beta	P49840 P49841	2931 2932	GSK3A GSK3B	Human	RFU	Protein
GSN	4775-34_3	SL005572	Gelsolin	Gelsolin	P06396	2934	GSN	Human	RFU	Protein
GSTA3	4993-16_1	SL000670	Glutathione S-transferase A3	GSTA3	Q16772	2940	GSTA3	Human	RFU	Protein
GSTP1	4911-49_2	SL003643	Glutathione S-transferase P	Glutathione S-transferase Pi	P09211	2950	GSTP1	Human	RFU	Protein
GZMA	3440-7_2	SL004298	Granzyme A	granzyme A	P12544	3001	GZMA	Human	RFU	Protein
GZMB	4133-54_2	SL004068	Granzyme B	Granzyme B	P10144	3002	GZMB	Human	RFU	Protein
GZMH	3373-5_2	SL004654	Granzyme H	Granzyme H	P20718	2999	GZMH	Human	RFU	Protein
H2AFZ	4163-5_2	SL002093	Histone H2A.z	Histone H2A.z	P0C0S5	3015	H2AFZ	Human	RFU	Protein
HAAO	5861-78_3	SL008466	3-hydroxyanthranilate 3,4-dioxygenase	3HAO	P46952	23498	HAAO	Human	RFU	Protein
HAMP	3504-58_2	SL004536	Hepcidin	LEAP-1	P81172	57817	HAMP	Human	RFU	Protein
HAPLN1	3196-6_2	SL008023	Hyaluronan and proteoglycan link protein 1	HPLN1	P10915	1404	HAPLN1	Human	RFU	Protein
HAT1	2858-29_2	SL004725	Histone acetyltransferase type B catalytic subunit	Hat1	O14929	8520	HAT1	Human	RFU	Protein
HAVCR2	5134-52_2	SL007547	Hepatitis A virus cellular receptor 2	TIMD3	Q8TDQ0	84868	HAVCR2	Human	RFU	Protein
HBA1.HBB	4915-64_2	SL000836	Hemoglobin	Hemoglobin	P69905, P68871	3039  3043	HBA1 HBB	Human	RFU	Protein
HBEGF	4134-4_2	SL000138	Heparin-binding EGF-like growth factor	HB-EGF	Q99075	1839	HBEGF	Human	RFU	Protein
HCK	3374-49_2	SL010499	Tyrosine-protein kinase HCK	HCK	P08631	3055	HCK	Human	RFU	Protein
HDAC8	2859-69_2	SL004723	Histone deacetylase 8	HDAC8	Q9BY41	55869	HDAC8	Human	RFU	Protein
HDGFRP2	4553-65_3	SL014009	Hepatoma-derived growth factor-related protein 2	HDGR2	Q7Z4V5	84717	HDGFRP2	Human	RFU	Protein
HFE2	3332-57_1	SL010469	Hemojuvelin	RGM-C	Q6ZVN8	148738	HFE2	Human	RFU	Protein
HGF	2681-23_2	SL000441	Hepatocyte growth factor	HGF	P14210	3082	HGF	Human	RFU	Protein
HGFAC	3617-80_4	SL006512	Hepatocyte growth factor activator	HGFA	Q04756	3083	HGFAC	Human	RFU	Protein
HHLA2	14132-21_3	SL020171	HERV-H LTR-associating protein 2	HHLA2	Q9UM44		HHLA2	Human	RFU	Protein
HIBADH	4693-72_2	SL008085	3-hydroxyisobutyrate dehydrogenase, mitochondrial	3HIDH	P31937	11112	HIBADH	Human	RFU	Protein
HIF1A	13089-6_3	SL003349	Hypoxia-inducible factor 1-alpha	HIF-1a	Q16665	3091	HIF1A	Human	RFU	Protein
HINT1	5900-11_2	SL009431	Histidine triad nucleotide-binding protein 1	HINT1	P49773	3094	HINT1	Human	RFU	Protein
HIPK3	3443-61_2	SL010523	Homeodomain-interacting protein kinase 3	HIPK3	Q9H422	10114	HIPK3	Human	RFU	Protein
HIST1H1C	2987-37_3	SL005256	Histone H1.2	Histone H1.2	P16403	3006	HIST1H1C	Human	RFU	Protein
HIST1H3A	14146-92_3	SL008158	Histone H3.1	H31	P68431	8350	HIST1H3A	Human	RFU	Protein
HIST2H2BE	14143-8_3	SL014983	Histone H2B type 2-E	H2B2E	Q16778	8349	HIST2H2BE	Human	RFU	Protein
HIST3H2A	14144-3_3	SL019979	Histone H2A type 3	H2A3	Q7L7L0		HIST3H2A	Human	RFU	Protein
HK1	13131-5_3	SL011180	Hexokinase-1	HXK1	P19367	3098	HK1	Human	RFU	Protein
HK2	13130-150_3	SL007272	Hexokinase-2	HXK2	P52789	3099	HK2	Human	RFU	Protein
HMGB1	2524-56_3	SL003280	High mobility group protein B1	HMG-1	P09429	3146	HMGB1	Human	RFU	Protein
HMGCR	5230-99_3	SL016557	3-hydroxy-3-methylglutaryl-coenzyme A reductase	HMGR	P04035	3156	HMGCR	Human	RFU	Protein
HMGN1	9187-2_3	SL013165	Non-histone chromosomal protein HMG-14	HMGN1	P05114	3150	HMGN1	Human	RFU	Protein
HMOX2	2622-18_1	SL004751	Heme oxygenase 2	HO-2	P30519	3163	HMOX2	Human	RFU	Protein
HNRNPA2B1	5351-52_3	SL004891	Heterogeneous nuclear ribonucleoproteins A2/B1	hnRNP A2/B1	P22626	3181	HNRNPA2B1	Human	RFU	Protein
HNRNPAB	4450-26_2	SL009791	Heterogeneous nuclear ribonucleoprotein A/B	hnRNP A/B	Q99729	3182	HNRNPAB	Human	RFU	Protein
HNRNPK	4994-178_1	SL002756	Heterogeneous nuclear ribonucleoprotein K	hnRNP K	P61978	3190	HNRNPK	Human	RFU	Protein
HP	3054-3_2	SL000437	Haptoglobin	Haptoglobin, Mixed Type	P00738	3240	HP	Human	RFU	Protein
HPGD	4995-16_1	SL003930	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	HPG-	P15428	3248	HPGD	Human	RFU	Protein
HPX	2768-56_2	SL000440	Hemopexin	Hemopexin	P02790	3263	HPX	Human	RFU	Protein
HRG	4996-66_1	SL006448	Histidine-rich glycoprotein	HRG	P04196	3273	HRG	Human	RFU	Protein
HS6ST1	5465-32_3	SL014129	Heparan-sulfate 6-O-sulfotransferase 1	H6ST1	O60243	9394	HS6ST1	Human	RFU	Protein
HSD17B1	4708-3_2	SL004253	Estradiol 17-beta-dehydrogenase 1	17-beta-HSD 1	P14061	3292	HSD17B1	Human	RFU	Protein
HSD17B10	4217-49_3	SL004795	3-hydroxyacyl-CoA dehydrogenase type-2	ERAB	Q99714	3028	HSD17B10	Human	RFU	Protein
HSP90AA1.HSP90AB1	2625-53_4	SL017612	Heat shock protein HSP 90-alpha/beta	HSP 90a/b	P07900 P08238		HSP90AA1 HSP90AB1	Human	RFU	Protein
HSP90AB1	5467-15_3	SL000454	Heat shock protein HSP 90-beta	HSP 90b	P08238	3326	HSP90AB1	Human	RFU	Protein
HSPA1A	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	RFU	Protein
HSPA8	5903-91_2	SL004899	Heat shock cognate 71 kDa protein	HSP70 protein 8	P11142	3312	HSPA8	Human	RFU	Protein
HSPB1	11103-24_3	SL000448	Heat shock protein beta-1	HSP 27	P04792	3315	HSPB1	Human	RFU	Protein
HSPD1	2682-68_1	SL000450	60 kDa heat shock protein, mitochondrial	HSP 60	P10809	3329	HSPD1	Human	RFU	Protein
HTRA2	3317-33_1	SL004860	Serine protease HTRA2, mitochondrial	HTRA2	O43464	27429	HTRA2	Human	RFU	Protein
Human.virus	2623-54_4	SL004697	Protein E7_HPV16	HPV E7 Type 16	P03129	1489079	Human-virus	Human papillomavirus type 16	RFU	Protein
Human.virus.1	2624-31_2	SL004698	Protein E7_HPV18	HPV E7 Type18	P06788	1489089	Human-virus	Human papillomavirus type 18	RFU	Protein
Human.virus.2	2769-3_2	SL000445	Protein Rev_HV2BE	HIV-2 Rev	P18093	1724716	Human-virus	isolate BEN	RFU	Protein
Human.virus.3	4792-51_2	SL016148	gp41 C34 peptide, HIV	C34 gp41 HIV Fragment	Q70626		Human-virus	isolate LW123	RFU	Protein
IBSP	3415-61_2	SL004660	Bone sialoprotein 2	BSP	P21815	3381	IBSP	Human	RFU	Protein
ICAM1	4342-10_3	SL002922	Intercellular adhesion molecule 1	sICAM-1	P05362	3383	ICAM1	Human	RFU	Protein
ICAM2	5486-73_3	SL003177	Intercellular adhesion molecule 2	sICAM-2	P13598	3384	ICAM2	Human	RFU	Protein
ICAM3	2649-77_2	SL003178	Intercellular adhesion molecule 3	sICAM-3	P32942	3385	ICAM3	Human	RFU	Protein
ICAM5	5124-69_3	SL005169	Intercellular adhesion molecule 5	sICAM-5	Q9UMF0	7087	ICAM5	Human	RFU	Protein
ICOS	2988-57_2	SL005170	Inducible T-cell costimulator	ICOS	Q9Y6W8	29851	ICOS	Human	RFU	Protein
ICOSLG	5061-27_3	SL004853	ICOS ligand	B7-H2	O75144	23308	ICOSLG	Human	RFU	Protein
IDE	3197-70_2	SL007122	Insulin-degrading enzyme	IDE	P14735	3416	IDE	Human	RFU	Protein
IDS	3198-4_1	SL008639	Iduronate 2-sulfatase	IDS	P22304	3423	IDS	Human	RFU	Protein
IDUA	3169-70_2	SL010368	Alpha-L-iduronidase	IDUA	P35475	3425	IDUA	Human	RFU	Protein
IFNA10	14128-121_3	SL017106	Interferon alpha-10	IFN10	P01566	3446	IFNA10	Human	RFU	Protein
IFNA2	3497-13_2	SL002075	Interferon alpha-2	IFN-aA	P01563	3440	IFNA2	Human	RFU	Protein
IFNA7	14129-1_3	SL019978	Interferon alpha-7	IFNA7	P01567		IFNA7	Human	RFU	Protein
IFNAR1	9183-7_3	SL004475	Interferon alpha/beta receptor 1	IFN-a/b R1	P17181	3454	IFNAR1	Human	RFU	Protein
IFNB1	14127-240_3	SL001880	Interferon beta	IFN-b	P01574	3456	IFNB1	Human	RFU	Protein
IFNG	14147-50_3	SL001802	Interferon gamma	IFN-g	P01579	3458	IFNG	Human	RFU	Protein
IFNGR1	5825-49_3	SL000458	Interferon gamma receptor 1	IFN-g R1	P15260	3459	IFNGR1	Human	RFU	Protein
IFNGR2	9180-6_3	SL007217	Interferon gamma receptor 2	INGR2	P38484	3460	IFNGR2	Human	RFU	Protein
IFNL1	4396-54_1	SL004348	Interferon lambda-1	IFN-lambda 1	Q8IU54	282618	IFNL1	Human	RFU	Protein
IFNL2	4397-26_2	SL004349	Interferon lambda-2	IFN-lambda 2	Q8IZJ0	282616	IFNL2	Human	RFU	Protein
IGF1	2952-75_2	SL000047	Insulin-like growth factor I	IGF-I	P05019	3479	IGF1	Human	RFU	Protein
IGF1R	4232-19_2	SL003304	Insulin-like growth factor 1 receptor	IGF-I sR	P08069	3480	IGF1R	Human	RFU	Protein
IGF2R	3676-15_3	SL003679	Cation-independent mannose-6-phosphate receptor	IGF-II receptor	P11717	3482	IGF2R	Human	RFU	Protein
IGFBP1	2771-35_2	SL000462	Insulin-like growth factor-binding protein 1	IGFBP-1	P08833	3484	IGFBP1	Human	RFU	Protein
IGFBP2	8469-41_3	SL000466	Insulin-like growth factor-binding protein 2	IGFBP-2	P18065	3485	IGFBP2	Human	RFU	Protein
IGFBP3	2571-12_3	SL000045	Insulin-like growth factor-binding protein 3	IGFBP-3	P17936	3486	IGFBP3	Human	RFU	Protein
IGFBP4	2950-57_2	SL005171	Insulin-like growth factor-binding protein 4	IGFBP-4	P22692	3487	IGFBP4	Human	RFU	Protein
IGFBP5	2685-21_2	SL004676	Insulin-like growth factor-binding protein 5	IGFBP-5	P24593	3488	IGFBP5	Human	RFU	Protein
IGFBP6	2686-67_2	SL005172	Insulin-like growth factor-binding protein 6	IGFBP-6	P24592	3489	IGFBP6	Human	RFU	Protein
IGFBP7	3320-49_2	SL005087	Insulin-like growth factor-binding protein 7	IGFBP-7	Q16270	3490	IGFBP7	Human	RFU	Protein
IGHA1.IGHA2	11089-7_3	SL000459	Immunoglobulin A	IgA	P01876 P01877	3493 3494	IGHA1 IGHA2	Human	RFU	Protein
IGHD..IGK..IGL.	4916-2_1	SL000460	Immunoglobulin D	IgD	P01880	3495 50802 3535	IGHD  IGK@ IGL@	Human	RFU	Protein
IGHE.IGK..IGL.	4135-84_2	SL000461	Immunoglobulin E	IgE	P01854	3497  50802 3535	IGHE IGK@ IGL@	Human	RFU	Protein
IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	2744-57_2	SL000467	Immunoglobulin G	IgG	P01857	3500 3501  3502 3503  50802 3535	IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	Human	RFU	Protein
IGHM.IGJ.IGK..IGL.	3069-52_3	SL000468	Immunoglobulin M	IgM	P01871	3507 3512 50802 3535	IGHM IGJ IGK@ IGL@	Human	RFU	Protein
IL10	2773-50_2	SL001717	Interleukin-10	IL-10	P22301	3586	IL10	Human	RFU	Protein
IL10RA	10344-334_3	SL005173	Interleukin-10 receptor subunit alpha	IL-10 Ra	Q13651	3587	IL10RA	Human	RFU	Protein
IL10RB	2631-50_2	SL004147	Interleukin-10 receptor subunit beta	IL-10 Rb	Q08334	3588	IL10RB	Human	RFU	Protein
IL11	4493-92_1	SL000470	Interleukin-11	IL-11	P20809	3589	IL11	Human	RFU	Protein
IL12A.IL12B	10367-62_3	SL001716	Interleukin-12	IL-12	P29459,  P29460	3592 3593	IL12A IL12B	Human	RFU	Protein
IL12B.IL23A	10365-132_3	SL005184	Interleukin-23	IL-23	P29460, Q9NPF7	3593 51561	IL12B IL23A	Human	RFU	Protein
IL12RB1	2632-5_2	SL004148	Interleukin-12 receptor subunit beta-1	IL-12 Rb1	P42701	3594	IL12RB1	Human	RFU	Protein
IL12RB2	3815-14_1	SL007620	Interleukin-12 receptor subunit beta-2	IL-12 RB2	Q99665	3595	IL12RB2	Human	RFU	Protein
IL13	3072-4_2	SL001718	Interleukin-13	IL-13	P35225	3596	IL13	Human	RFU	Protein
IL13RA1	2633-52_2	SL004149	Interleukin-13 receptor subunit alpha-1	IL-13 Ra1	P78552	3597	IL13RA1	Human	RFU	Protein
IL15RA	3445-53_2	SL004151	Interleukin-15 receptor subunit alpha	IL-15 Ra	Q13261	3601	IL15RA	Human	RFU	Protein
IL16	2774-10_3	SL000474	Interleukin-16	IL-16	Q14005	3603	IL16	Human	RFU	Protein
IL17A	9170-24_3	SL001713	Interleukin-17A	IL-17	Q16552	3605	IL17A	Human	RFU	Protein
IL17B	3499-77_2	SL004350	Interleukin-17B	IL-17B	Q9UHF5	27190	IL17B	Human	RFU	Protein
IL17D	4136-40_2	SL004353	Interleukin-17D	IL-17D	Q8TAD2	53342	IL17D	Human	RFU	Protein
IL17F	2775-54_2	SL004352	Interleukin-17F	IL-17F	Q96PD4	112744	IL17F	Human	RFU	Protein
IL17RA	2992-59_2	SL004850	Interleukin-17 receptor A	IL-17 sR	Q96F46	23765	IL17RA	Human	RFU	Protein
IL17RB	5084-154_3	SL005174	Interleukin-17 receptor B	IL-17B R	Q9NRM6	55540	IL17RB	Human	RFU	Protein
IL17RC	5468-67_3	SL011068	Interleukin-17 receptor C	IL-17 RC	Q8NAC3	84818	IL17RC	Human	RFU	Protein
IL17RD	3376-49_2	SL010613	Interleukin-17 receptor D	IL-17 RD	Q8NFM7	54756	IL17RD	Human	RFU	Protein
IL18BP	3073-51_2	SL002508	Interleukin-18-binding protein	IL-18 BPa	O95998	10068	IL18BP	Human	RFU	Protein
IL18R1	3446-7_2	SL004152	Interleukin-18 receptor 1	IL-18 Ra	Q13478	8809	IL18R1	Human	RFU	Protein
IL18RAP	2993-1_2	SL004861	Interleukin-18 receptor accessory protein	IL-18 Rb	O95256	8807	IL18RAP	Human	RFU	Protein
IL19	3035-80_2	SL004354	Interleukin-19	IL-19	Q9UHD0	29949	IL19	Human	RFU	Protein
IL1A	4851-25_1	SL000125	Interleukin-1 alpha	IL-1a	P01583	3552	IL1A	Human	RFU	Protein
